location,size,total_sqft,bath,price,price_per_sqft
Bharathi Nagar,2 BHK,1351,2,70,5181
Hebbal,3 BHK,1355,3,83.87,6189
Sector 7 HSR Layout,3 BHK,3900,3,300,7692
Thanisandra,3 BHK,1588,3,75.55,4757
Amruthahalli,2 BHK,900,2,60,6666
other,3 Bedroom,440,3,50,11363
Harlur,4 Bedroom,3385,4,260,7680
Panathur,3 BHK,1370,2,75,5474
Whitefield,3 Bedroom,1500,3,71.8,4786
other,3 BHK,2280,3,285,12500
Kanakpura Road,3 BHK,1100,3,53,4818
Hoodi,2 BHK,1247,2,53,4250
other,3 BHK,2000,3,200,10000
Balagere,2 BHK,1020.07,2,68.38,6703
other,3 BHK,1033,2,32,3097
other,3 BHK,1460,2,73,5000
Garudachar Palya,2 BHK,1150,2,52.8,4591
Sarjapur  Road,5 BHK,5965,5,385,6454
Babusapalaya,2 BHK,1141,2,46,4031
Yelahanka,4 BHK,2912.5,6,125.5,4309
Doddaballapur,4 Bedroom,4200,4,325,7738
Hosa Road,3 BHK,1665,2,125,7507
Kanakapura,2 BHK,1295,2,64,4942
Haralur Road,2 BHK,1230,2,78,6341
other,3 BHK,1080,2,75,6944
Kaggalipura,2 BHK,1000,2,60,6000
Kaval Byrasandra,3 BHK,2400,2,50,2083
Whitefield,1 BHK,630.5,1,32.79,5200
Rayasandra,3 BHK,1708,3,75,4391
Thanisandra,3 BHK,1697,3,115,6776
Whitefield,4 BHK,3537,5,210,5937
Hosa Road,1 BHK,615,1,28.29,4600
Banashankari,3 BHK,1350,2,83,6148
Jalahalli,2 BHK,1083,2,32.49,3000
Gottigere,3 BHK,1460,2,65,4452
Babusapalaya,2 BHK,1084,2,58,5350
Bommasandra,2 BHK,1035,2,41.43,4002
other,3 BHK,2400,2,150,6250
Hosur Road,1 BHK,460,1,21,4565
other,5 BHK,950,5,90,9473
Whitefield,2 BHK,1285,2,55.9,4350
other,19 BHK,2000,16,490,24500
Sarjapur,3 Bedroom,1200,3,78,6500
other,2 BHK,1070,2,35,3271
Hegde Nagar,3 BHK,1801,3,140,7773
Whitefield,3 BHK,1697,3,115,6776
AECS Layout,2 BHK,1199,2,65,5421
Iblur Village,3 BHK,2300,3,220,9565
Mysore Road,3 BHK,1340,2,64.31,4799
Marathahalli,4 BHK,3800,4,205,5394
Jigani,5 Bedroom,600,5,50,8333
other,2 BHK,1125,2,75,6666
Anandapura,2 Bedroom,1200,2,67,5583
Subramanyapura,2 BHK,1050,2,41,3904
Nagarbhavi,2 BHK,956,2,49,5125
Sarjapur,2 BHK,1000,2,30,3000
other,3 BHK,1596,3,95,5952
other,6 Bedroom,1200,5,150,12500
Kanakpura Road,2 BHK,1296,2,89.06,6871
other,6 Bedroom,1200,7,170,14166
other,3 BHK,1639,3,123,7504
Electronic City Phase II,2 BHK,1219,2,61.25,5024
Uttarahalli,3 BHK,1200,3,50,4166
Bannerghatta Road,2 BHK,1218,2,73,5993
other,2 BHK,920,2,37,4021
Yeshwanthpur,3 BHK,2559,3,141,5509
2nd Phase Judicial Layout,1 BHK,525,1,26,4952
Bannerghatta Road,3 BHK,1427,2,48.51,3399
Kothannur,3 BHK,1270,3,45,3543
Ramagondanahalli,2 BHK,920,2,65,7065
Dommasandra,4 Bedroom,2700,3,68,2518
other,3 BHK,1740,3,199,11436
Ramamurthy Nagar,3 BHK,1355,2,40,2952
Lingadheeranahalli,3 BHK,1530,2,90,5882
other,3 BHK,1372,2,90,6559
Nehru Nagar,4 BHK,2363,5,120,5078
Marathahalli,4 BHK,3895,4,220,5648
Jakkur,3 BHK,1950,3,131,6717
other,2 BHK,885,2,40,4519
Yelahanka,2 BHK,600,2,27,4500
Kumaraswami Layout,5 Bedroom,1270,4,128,10078
Vijayanagar,2 Bedroom,1380,2,225,16304
Kanakpura Road,2 BHK,1339,2,62,4630
Whitefield,2 BHK,1130,2,36,3185
Uttarahalli,2 BHK,1085,2,43,3963
Yeshwanthpur,3 BHK,1430,3,72,5034
Bhoganhalli,4 BHK,1451.5,4,121,8336
other,5 BHK,6200,5,720,11612
other,3 BHK,1490,2,59.6,4000
other,4 BHK,1650,4,99,6000
Bellandur,2 BHK,1286,2,57,4432
other,2 BHK,925,2,63,6810
Bellandur,4 BHK,3016,4,230,7625
Haralur Road,2 BHK,1000,2,44,4400
Whitefield,2 BHK,1215,2,39,3209
other,4 Bedroom,1200,3,95,7916
Lakshminarayana Pura,2 BHK,1336,2,100,7485
Yeshwanthpur,1 BHK,673,1,36.85,5475
Anandapura,2 Bedroom,1200,2,58,4833
other,6 Bedroom,600,7,63,10500
Malleshwaram,3 BHK,1600,3,160,10000
other,2 Bedroom,1200,2,79,6583
Indira Nagar,6 Bedroom,2480,4,750,30241
other,3 BHK,2500,3,270,10800
Devanahalli,5 Bedroom,2400,5,100,4166
Sector 2 HSR Layout,2 BHK,1143,2,65,5686
Kanakpura Road,2 BHK,1470,2,61.74,4200
other,4 Bedroom,1584,3,145,9154
Marathahalli,3 BHK,1785,3,94,5266
Koramangala,3 BHK,2292,3,286,12478
Kothanur,3 BHK,1460,3,71,4863
Kasturi Nagar,3 BHK,1500,2,80,5333
Yelahanka,5 Bedroom,1200,4,140,11666
Sanjay nagar,5 BHK,3300,3,250,7575
Chikkalasandra,2 BHK,1230,2,48,3902
Yelahanka New Town,1 BHK,650,1,20,3076
Benson Town,2 BHK,1480,2,120,8108
Thanisandra,2 BHK,1220,2,43.92,3600
other,3 BHK,1570,3,115,7324
other,3 BHK,3000,3,400,13333
Mallasandra,3 BHK,1665,3,86.91,5219
other,3 Bedroom,1350,3,380,28148
Sarjapur  Road,4 Bedroom,4000,5,600,15000
Ramamurthy Nagar,2 Bedroom,1100,2,68,6181
Kathriguppe,3 BHK,1350,2,87.01,6445
Kasavanhalli,3 BHK,1719,3,116,6748
Budigere,1 BHK,664,1,35,5271
Sonnenahalli,2 BHK,1011,2,50.53,4998
other,6 Bedroom,2400,6,130,5416
other,3 BHK,1680,3,85,5059
Yeshwanthpur,2 BHK,717,2,49.475,6900
other,4 Bedroom,700,4,110,15714
Whitefield,3 BHK,1520,2,150,9868
Uttarahalli,3 BHK,1350,2,53,3925
Kothanur,3 BHK,1760,3,150,8522
Pattandur Agrahara,2 BHK,875,2,33,3771
Hennur,2 BHK,1231,2,48,3899
Somasundara Palya,2 BHK,1174,2,74,6303
Munnekollal,3 BHK,1560,3,75,4807
other,2 BHK,1464,2,56,3825
Kanakpura Road,3 Bedroom,2200,3,130,5909
Shivaji Nagar,2 BHK,850,2,55,6470
other,3 BHK,1750,3,180,10285
1st Phase JP Nagar,3 BHK,2024,3,157,7756
other,2 Bedroom,1500,1,160,10666
other,6 Bedroom,2100,6,275,13095
Kodihalli,3 BHK,2408,4,260,10797
Devanahalli,2 BHK,1080,2,44,4074
Indira Nagar,3 BHK,2070,3,225,10869
Electronic City,2 BHK,1020,2,29.46,2888
Begur Road,3 BHK,1500,2,55,3666
Mahalakshmi Layout,4 Bedroom,1575,5,158,10031
Kodichikkanahalli,4 Bedroom,3250,4,180,5538
Uttarahalli,2 BHK,1175,2,47,4000
Channasandra,2 BHK,1030,2,34.5,3349
Hebbal,2 BHK,1440,2,115,7986
Hoodi,2 BHK,1500,2,84,5600
Thanisandra,1 Bedroom,1380,1,62.1,4500
other,2 BHK,1200,2,50,4166
other,1 BHK,705,1,36.5,5177
Harlur,3 BHK,2240,5,155,6919
Hegde Nagar,3 BHK,1584.01,3,103,6502
other,3 BHK,1340,3,77,5746
other,3 BHK,1800,3,70,3888
R.T. Nagar,2 BHK,1200,2,45,3750
Sarjapur  Road,1 BHK,685,1,40,5839
other,2 BHK,925,2,42,4540
other,2 BHK,1230,2,57,4634
other,5 Bedroom,1200,5,185,15416
Kodichikkanahalli,2 BHK,1125,2,52,4622
Hebbal,2 BHK,1100,2,54,4909
Jigani,3 Bedroom,2400,3,149,6208
Electronic City Phase II,3 BHK,1400,2,41.58,2970
Uttarahalli,7 Bedroom,1200,7,225,18750
Jakkur,3 BHK,1858,3,98.3,5290
other,1 Bedroom,1260,1,41,3253
Ambedkar Nagar,4 BHK,3530,4,290,8215
HSR Layout,2 BHK,1185,2,60,5063
other,2 Bedroom,1200,2,216,18000
Hennur,2 BHK,1255,2,58,4621
Rajaji Nagar,4 BHK,3436,6,475,13824
Kudlu Gate,3 BHK,1335,3,89,6666
Dodda Nekkundi,3 BHK,1999,3,132,6603
other,2 Bedroom,1200,2,125,10416
Kundalahalli,3 BHK,1397,3,110,7874
Jigani,10 Bedroom,1200,10,105,8750
Cooke Town,4 BHK,3950,4,450,11392
Yelahanka New Town,2 Bedroom,1200,2,130,10833
Chikka Tirupathi,3 Bedroom,1616,3,95,5878
Banashankari Stage III,8 Bedroom,1200,7,350,29166
other,4 Bedroom,1270,2,175,13779
Raja Rajeshwari Nagar,2 BHK,1140,2,38.55,3381
Kanakpura Road,1 BHK,525,1,30,5714
Varthur,3 Bedroom,1200,2,98,8166
other,1 Bedroom,700,1,162,23142
Balagere,2 BHK,1205.47,2,81,6719
other,3 Bedroom,1200,3,130,10833
Electronic City,3 BHK,1700,3,75,4411
Thanisandra,5 Bedroom,750,4,62,8266
Kanakpura Road,2 BHK,1090,2,54.54,5003
Yeshwanthpur,4 BHK,3600,5,220,6111
Kundalahalli,1 BHK,2400,1,650,27083
Thanisandra,1 BHK,923,1,60.84,6591
other,4 BHK,3595,6,360,10013
Green Glen Layout,2 BHK,1050,2,48,4571
Whitefield,2 BHK,1495,2,79.5,5317
Narayanapura,3 BHK,1485,3,85,5723
Dommasandra,3 BHK,1033,2,31.5,3049
Electronic City,3 BHK,1400,2,48,3428
Indira Nagar,1 Bedroom,500,1,70,14000
Sarjapur  Road,2 BHK,944,2,35,3707
Whitefield,5 Bedroom,3250,5,290,8923
Whitefield,2 BHK,1216,2,66.48,5467
other,2 BHK,1100,2,39.5,3590
Thanisandra,3 BHK,1743,3,93.25,5349
Yelahanka,2 BHK,1274,2,48.42,3800
other,3 BHK,2500,3,425,17000
Mysore Road,3 BHK,1512,2,110,7275
other,4 BHK,3100,5,385,12419
Cox Town,3 BHK,1650,3,100,6060
Doddathoguru,3 BHK,1875,3,55,2933
Whitefield,3 BHK,1350,3,54,4000
other,2 BHK,1219,2,40,3281
other,4 Bedroom,1200,4,150,12500
Sarjapura - Attibele Road,3 Bedroom,2400,3,85,3541
Hormavu,2 BHK,1141,2,44.4,3891
Anandapura,2 BHK,1151,2,43.1,3744
Bommenahalli,3 Bedroom,832,3,77,9254
Sarjapur  Road,2 BHK,915,2,38,4153
other,3 Bedroom,3259,3,270,8284
Bannerghatta Road,2 BHK,1115,2,65.12,5840
Thigalarapalya,3 BHK,2072,4,139,6708
Kaggadasapura,2 BHK,1200,2,53,4416
Singasandra,2 BHK,1300,2,65,5000
Bellandur,2 BHK,1457,2,85,5833
Kannamangala,2 BHK,1262,2,55,4358
BEML Layout,4 Bedroom,1196,3,150,12541
Ananth Nagar,2 BHK,900,2,22.5,2500
Attibele,1 BHK,420,1,17,4047
Kanakapura,2 BHK,1160,2,46.39,3999
Kasavanhalli,2 BHK,1115,2,50,4484
JP Nagar,3 BHK,1315,2,85.4,6494
Babusapalaya,2 BHK,1500,2,57,3800
HSR Layout,2 BHK,1127,2,68,6033
Kundalahalli,3 BHK,1397,3,104,7444
Whitefield,2 BHK,1173,2,60,5115
Sompura,2 BHK,1090,2,28,2568
Sarjapur  Road,3 BHK,2720,5,210,7720
Jakkur,2 BHK,1230,2,76,6178
other,4 BHK,3200,3,190,5937
Sarjapur  Road,2 BHK,858,2,31.57,3679
Talaghattapura,3 BHK,1868,3,121,6477
Uttarahalli,3 BHK,1689.28,3,91.2,5398
Vishwapriya Layout,4 BHK,600,3,73,12166
Banashankari,3 BHK,1425,3,49.88,3500
Subramanyapura,6 Bedroom,1200,6,170,14166
Tindlu,2 Bedroom,1350,2,100,7407
Channasandra,6 Bedroom,4200,6,180,4285
Uttarahalli,3 BHK,1310,2,85,6488
other,2 BHK,970,2,40,4123
Kundalahalli,3 BHK,1397,3,108,7730
Sarjapur,2 BHK,1157,2,40,3457
Kasavanhalli,2 BHK,1125,2,61.2,5440
Sonnenahalli,2 BHK,1157,2,42,3630
Sarjapur  Road,2 BHK,1241,2,82,6607
Binny Pete,1 BHK,660,1,62,9393
Marathahalli,4 BHK,4000,4,220,5500
Rajiv Nagar,4 BHK,2340,4,148,6324
other,1 BHK,596,1,42,7046
other,16 BHK,10000,16,550,5500
other,4 Bedroom,1200,4,110,9166
other,3 BHK,1910,3,190,9947
Brookefield,2 BHK,1139,2,80,7023
Thigalarapalya,4 BHK,3122,5,225,7206
Sarjapura - Attibele Road,2 BHK,1033,2,28.41,2750
Yeshwanthpur,2 BHK,1168,2,64.08,5486
Chandapura,2 BHK,877,2,42,4789
Electronics City Phase 1,2 BHK,1340,2,75,5597
other,3 BHK,1405,2,70,4982
other,3 BHK,1800,3,65,3611
other,3 BHK,1750,3,149,8514
other,3 BHK,1360,2,65,4779
Malleshwaram,3 Bedroom,675,2,148,21925
other,2 BHK,985,2,63,6395
other,2 BHK,1300,2,129,9923
7th Phase JP Nagar,3 BHK,1850,3,150,8108
other,3 BHK,1490,2,88,5906
other,2 BHK,620,1,25,4032
Hormavu,2 BHK,1130,2,42.3,3743
Yelachenahalli,2 BHK,1080,2,55,5092
Singasandra,4 BHK,3126,4,120,3838
Begur Road,3 BHK,1410,2,52.17,3700
Bommanahalli,3 BHK,1375,3,59,4290
Hennur Road,3 BHK,1290,2,94.5,7325
Hosa Road,3 BHK,1318,2,85.28,6470
Electronic City,2 BHK,1128,2,68,6028
other,4 Bedroom,4428,4,255,5758
Kanakpura Road,2 BHK,1051,2,56.74,5398
Kengeri,3 Bedroom,3500,5,275,7857
Kannamangala,4 Bedroom,2400,4,130,5416
Yelahanka,2 BHK,1327,2,85,6405
Thigalarapalya,4 BHK,2912,6,210,7211
other,2 BHK,1301,2,55,4227
other,1 BHK,650,1,30,4615
Varthur,3 Bedroom,1200,3,67.75,5645
other,3 BHK,1500,2,89.99,5999
other,4 Bedroom,2700,6,675,25000
other,4 Bedroom,1350,4,145,10740
Electronic City Phase II,2 BHK,1000,2,28.88,2888
Sarjapur  Road,2 BHK,984,2,45.91,4665
Jakkur,3 BHK,1819.18,3,160,8795
Nagarbhavi,1 Bedroom,900,1,175,19444
Hebbal,3 BHK,1355,3,83.87,6189
Sarakki Nagar,3 BHK,2145,4,270,12587
Malleshwaram,3 BHK,2475,4,300,12121
Kaggadasapura,2 BHK,1118,2,30,2683
other,1 BHK,910,1,42,4615
other,3 BHK,1250,3,39,3120
Hosakerehalli,2 BHK,1304,2,100,7668
Begur Road,3 BHK,1615,3,58,3591
Sarjapur  Road,2 BHK,1400,2,68,4857
CV Raman Nagar,2 BHK,1070,2,47.5,4439
Hebbal,3 BHK,3500,3,395,11285
Hoodi,2 BHK,1132,2,89.37,7894
other,3 BHK,2000,3,85,4250
Hebbal,7 Bedroom,2400,5,550,22916
Sector 2 HSR Layout,1 BHK,794,1,65,8186
Raja Rajeshwari Nagar,2 BHK,1090,2,43.59,3999
Gottigere,3 BHK,1500,3,70,4666
1st Phase JP Nagar,3 BHK,2059,3,225,10927
Kanakpura Road,1 BHK,525,1,30,5714
Bhoganhalli,2 BHK,1447,2,75.97,5250
Whitefield,2 BHK,1269,2,75,5910
other,4 Bedroom,4800,4,700,14583
Kanakpura Road,2 BHK,1070,2,37.45,3500
Talaghattapura,2 BHK,1150,2,28,2434
Marathahalli,2 BHK,1208,2,70,5794
Ramamurthy Nagar,2 BHK,1185,2,45.5,3839
Laggere,3 Bedroom,1200,3,130,10833
Anekal,2 BHK,888,2,34,3828
Chandapura,2 BHK,1015,2,25.88,2549
other,1 BHK,532,1,22.49,4227
other,3 BHK,1060,3,62,5849
Electronic City,1 BHK,700,1,35,5000
other,2 BHK,902,2,42,4656
other,6 Bedroom,600,3,95,15833
Uttarahalli,2 BHK,1175,2,47,4000
Binny Pete,2 BHK,1365,2,122,8937
Doddathoguru,2 BHK,984,2,51,5182
Hebbal,4 Bedroom,2700,2,100,3703
Jalahalli East,3 BHK,1475,3,96,6508
Haralur Road,2 BHK,1300,2,79,6076
5th Block Hbr Layout,5 Bedroom,1200,6,220,18333
Babusapalaya,3 BHK,1453,2,43.59,3000
other,2 BHK,1550,2,160,10322
Akshaya Nagar,3 BHK,1666,3,95,5702
Akshaya Nagar,4 Bedroom,1410,4,160,11347
Yelahanka,4 Bedroom,4025,5,800,19875
Murugeshpalya,3 BHK,1845,3,91,4932
Sarjapura - Attibele Road,3 BHK,1676,3,52,3102
Uttarahalli,2 BHK,1137,2,63,5540
Electronic City,3 BHK,1360,2,70.5,5183
other,3 BHK,1374,2,70,5094
Judicial Layout,3 Bedroom,1700,3,155,9117
Whitefield,5 Bedroom,3227,5,250,7747
other,4 BHK,2145,4,125,5827
Koramangala,4 Bedroom,2400,6,600,25000
Kasavanhalli,3 BHK,2170,3,151,6958
other,2 BHK,1080,2,55,5092
Electronic City Phase II,3 BHK,1790,3,100,5586
Doddathoguru,1 BHK,550,1,17,3090
Poorna Pragna Layout,3 BHK,1270,2,50.79,3999
Somasundara Palya,2 BHK,1033,2,48,4646
other,2 Bedroom,1000,2,80,8000
Binny Pete,4 BHK,2940,6,280,9523
other,2 BHK,1240,2,52.6,4241
Kasturi Nagar,5 Bedroom,1650,5,450,27272
Kambipura,2 BHK,883,2,39,4416
other,3 BHK,1500,2,97,6466
Marathahalli,3 BHK,1730,3,139,8034
Kasavanhalli,3 BHK,1915,3,80,4177
Whitefield,3 BHK,1545,3,79,5113
other,3 BHK,1865,4,140,7506
Hebbal Kempapura,2 BHK,1150,2,40,3478
other,2 BHK,1200,2,49,4083
Kengeri,2 BHK,963,2,40,4153
Marsur,3 Bedroom,1200,3,120,10000
Basavangudi,4 BHK,2600,4,260,10000
Kaikondrahalli,4 BHK,1700,4,108,6352
Lingadheeranahalli,3 BHK,1682,3,120,7134
Yelahanka,3 BHK,1371,2,65,4741
Hennur Road,2 BHK,901,2,49.5,5493
Vishwapriya Layout,7 Bedroom,600,7,73,12166
Ambalipura,3 BHK,1730,3,120,6936
Konanakunte,4 Bedroom,1200,4,125,10416
EPIP Zone,3 BHK,1500,3,102,6800
Sarjapur  Road,4 BHK,3785,6,280,7397
other,4 BHK,3500,4,245,7000
other,2 BHK,1203,2,59.86,4975
Horamavu Banaswadi,2 BHK,1357,2,54,3979
other,3 BHK,1600,3,76,4750
Yelahanka New Town,1 BHK,350,1,13.5,3857
Varthur,3 BHK,1665,3,53,3183
Ramamurthy Nagar,3 Bedroom,1400,3,200,14285
Sarjapur  Road,1 BHK,835,1,46.95,5622
other,2 Bedroom,815,3,160,19631
Haralur Road,3 BHK,1444,2,80,5540
Kanakapura,2 BHK,1277,2,55,4306
Lingadheeranahalli,3 BHK,1521,3,94.71,6226
other,2 BHK,1134,2,40,3527
Vasanthapura,2 BHK,995,2,34.82,3499
Old Madras Road,3 BHK,2760,5,157,5688
Marathahalli,2 BHK,1325,1,92,6943
Kothanur,6 Bedroom,4000,6,150,3750
Marathahalli,3 BHK,1525,3,90,5901
other,3 BHK,1320,2,73,5530
Electronics City Phase 1,1 BHK,650,1,23,3538
Old Airport Road,3 BHK,1858,2,167,8988
Electronic City,2 BHK,1150,2,38,3304
Electronic City Phase II,2 BHK,769,2,40,5201
Electronic City,3 BHK,1571,3,105,6683
Hennur Road,3 BHK,1445,3,86.56,5990
Hosur Road,3 BHK,1590,2,135,8490
Bommasandra,2 BHK,902,2,49,5432
Sarjapur,3 Bedroom,2238,3,140,6255
Electronic City,2 BHK,1090,2,31.49,2888
Yelahanka,3 BHK,1712,3,82,4789
Haralur Road,2 BHK,1088,2,68,6250
Somasundara Palya,3 BHK,1575,3,63.1,4006
other,6 Bedroom,2150,6,205,9534
Kundalahalli,3 BHK,1920,3,150,7812
Margondanahalli,2 Bedroom,1000,2,57,5700
other,2 BHK,1100,2,56.1,5100
Electronic City,2 BHK,1089,2,45,4132
Horamavu Agara,2 BHK,1106,2,43.09,3896
Kengeri,2 BHK,927,2,37,3991
Kanakpura Road,2 BHK,1339,2,58,4331
Thanisandra,1 BHK,923,1,45.69,4950
Sarjapur  Road,3 Bedroom,2900,3,285,9827
Lakshminarayana Pura,2 BHK,1175,2,75,6382
Thubarahalli,2 BHK,975,2,55,5641
Hebbal,3 BHK,2400,4,180,7500
Subramanyapura,3 BHK,1330,3,72,5413
Thanisandra,2 BHK,1183,2,59.74,5049
Harlur,3 BHK,1758,3,133,7565
Nagarbhavi,3 Bedroom,1200,3,265,22083
Hebbal,3 BHK,1255,2,77.68,6189
other,3 Bedroom,600,4,110,18333
Pai Layout,2 BHK,1100,2,50,4545
Ramamurthy Nagar,2 BHK,1170,2,46.8,4000
other,5 Bedroom,2400,5,120,5000
Raja Rajeshwari Nagar,3 BHK,1530,3,51.77,3383
Hebbal,2 BHK,1420,2,107,7535
other,4 Bedroom,1200,4,300,25000
7th Phase JP Nagar,6 Bedroom,1045,6,160,15311
Kanakpura Road,3 BHK,1591,3,115,7228
7th Phase JP Nagar,3 BHK,1680,3,120,7142
other,2 Bedroom,675,3,52,7703
Hoodi,2 BHK,1055,2,57.63,5462
Iblur Village,3 BHK,1918,3,129,6725
Sarjapur  Road,2 BHK,1280,2,76,5937
Nagarbhavi,3 BHK,1560,3,66,4230
Sarjapur  Road,2 BHK,1145,2,49.5,4323
Talaghattapura,3 BHK,2106,3,126,5982
other,3 BHK,1801,3,139,7717
Seegehalli,5 Bedroom,1200,5,120,10000
Rajaji Nagar,2 BHK,1718,3,288,16763
Whitefield,3 BHK,1306,3,54.65,4184
Hebbal,2 BHK,1320,2,92,6969
other,3 BHK,1350,2,65,4814
other,4 BHK,2990,4,324,10836
Kalyan nagar,4 BHK,3800,5,300,7894
Bannerghatta Road,3 BHK,1344,2,42,3125
Bannerghatta Road,3 BHK,1893,3,100,5282
Chandapura,3 BHK,1107,2,43,3884
R.T. Nagar,9 Bedroom,1200,10,180,15000
Lakshminarayana Pura,2 BHK,1190,2,75,6302
Whitefield,2 BHK,1000,2,35,3500
other,2 Bedroom,2400,2,160,6666
Kumaraswami Layout,2 BHK,1000,2,48.5,4850
Jalahalli,3 BHK,2113,3,155,7335
KR Puram,2 BHK,1100,2,46,4181
Sector 2 HSR Layout,5 Bedroom,1200,4,160,13333
Harlur,4 BHK,1884,4,120,6369
Electronic City,2 BHK,1110,2,40,3603
Kudlu,2 BHK,1027,2,43,4186
other,3 BHK,1250,3,40,3200
Sarjapur  Road,3 BHK,1470,3,62,4217
other,2 BHK,1150,2,75,6521
other,3 Bedroom,1200,3,165,13750
Kudlu Gate,1 BHK,703,1,52,7396
other,3 BHK,1400,2,62,4428
Bellandur,2 BHK,1195,2,51,4267
Narayanapura,2 BHK,1302,2,69.1,5307
Begur Road,3 BHK,1583,3,74.4,4699
other,3 BHK,1488,2,60,4032
other,4 Bedroom,600,5,85,14166
Kammasandra,3 BHK,1385,2,34.63,2500
Whitefield,4 BHK,3262,4,260,7970
Electronic City,3 BHK,1600,3,104,6500
Old Airport Road,2 BHK,1150,2,90,7826
other,9 Bedroom,4500,9,166,3688
Sarjapur  Road,2 BHK,1263,2,78,6175
KR Puram,7 Bedroom,1200,8,110,9166
Kanakpura Road,2 BHK,1299,2,85,6543
Banashankari,2 BHK,1330,2,78,5864
Devanahalli,3 BHK,1282,2,52.43,4089
other,3 BHK,1853,3,82,4425
other,2 BHK,861,2,35,4065
Bannerghatta Road,3 BHK,1600,3,95,5937
other,2 BHK,1256,2,62.8,5000
other,3 BHK,1390,2,80,5755
other,3 BHK,1550,2,90,5806
other,11 Bedroom,1200,6,150,12500
Hebbal,2 BHK,919,2,49,5331
Margondanahalli,3 Bedroom,1625,3,80,4923
Gunjur,2 BHK,1195,2,44,3682
Domlur,6 BHK,2400,4,600,25000
Yelenahalli,2 BHK,1159,2,60,5176
Whitefield,3 BHK,1386,3,57.46,4145
Harlur,2 BHK,1197,2,79,6599
Old Airport Road,4 BHK,2690,4,191,7100
Bommasandra,3 BHK,1295,2,50.28,3882
other,3 BHK,1310,2,37.83,2887
Whitefield,2 BHK,1132,2,79.28,7003
other,3 BHK,2350,3,400,17021
other,4 Bedroom,2400,4,500,20833
Hebbal,3 BHK,1645,3,135,8206
Whitefield,2 BHK,1200,2,45.84,3820
Whitefield,4 Bedroom,3000,4,330,11000
Marathahalli,3 BHK,1937,3,140,7227
Doddathoguru,2 BHK,1015,2,33.5,3300
other,2 BHK,1080,2,39,3611
Kathriguppe,3 BHK,1350,2,80.99,5999
Kengeri Satellite Town,3 BHK,1149,2,29,2523
Kothanur,2 BHK,1185,2,59,4978
Domlur,3 BHK,1720,3,135,7848
Hebbal,3 BHK,2080,3,175,8413
Tindlu,3 Bedroom,1500,3,87,5800
Yelahanka,3 BHK,1566,3,97,6194
Rajaji Nagar,3 BHK,2386,3,334,13998
other,4 Bedroom,1500,4,110,7333
KR Puram,2 BHK,1290,2,49.02,3800
other,3 BHK,1531,3,72,4702
other,3 BHK,1839,3,165,8972
other,4 Bedroom,4200,4,760,18095
Electronic City Phase II,3 BHK,1400,2,40.43,2887
Electronic City,2 BHK,550,1,15,2727
Whitefield,2 BHK,1140,2,39,3421
Tumkur Road,3 BHK,1343.5,3,57.76,4299
Banashankari Stage III,4 Bedroom,2000,4,100,5000
Kaval Byrasandra,2 BHK,1100,2,46,4181
other,2 BHK,1200,2,55,4583
Bannerghatta,3 BHK,1618,3,68,4202
Whitefield,4 BHK,2830,5,160,5653
Uttarahalli,3 BHK,1315,2,74,5627
Anandapura,2 BHK,1141,2,42.75,3746
AECS Layout,2 BHK,1080,2,55,5092
HBR Layout,2 BHK,1200,2,60,5000
Varthur,2 BHK,1111,2,41.88,3769
NGR Layout,2 BHK,1022,2,45.9,4491
Bannerghatta Road,2 BHK,1275,2,65,5098
other,2 BHK,900,2,70,7777
Rachenahalli,2 BHK,1224,2,39.2,3202
Battarahalli,2 BHK,1135,2,43,3788
Rachenahalli,2 BHK,1050,2,52.1,4961
Kudlu Gate,3 BHK,1535,3,86,5602
Nagavarapalya,2 BHK,1392,2,130,9339
Bellandur,2 BHK,1050,2,72,6857
Hosa Road,3 BHK,1513,3,103,6807
Gottigere,3 BHK,1621,3,72,4441
Bannerghatta Road,2 BHK,892,2,39,4372
Whitefield,2 BHK,1205,2,40,3319
Hebbal,3 BHK,1355,3,83.87,6189
other,5 Bedroom,1250,5,300,24000
other,7 Bedroom,1650,9,345,20909
other,4 BHK,1200,6,70,5833
Indira Nagar,2 BHK,1400,2,168,12000
Kengeri,2 BHK,726,2,35,4820
other,3 Bedroom,1500,3,149,9933
Hebbal,4 BHK,3895,4,405,10397
Horamavu Agara,2 BHK,1079,2,41,3799
Begur Road,2 BHK,1170,2,46,3931
Doddathoguru,2 BHK,1104,2,39,3532
Kanakpura Road,2 BHK,950,2,45,4736
Hormavu,4 Bedroom,4818,4,390,8094
other,3 BHK,1650,2,52,3151
Kogilu,3 BHK,1559,3,127,8146
other,2 BHK,1100,2,38,3454
Benson Town,3 BHK,1750,3,150,8571
Ramagondanahalli,2 BHK,1215,2,45.5,3744
Talaghattapura,3 BHK,1868,3,135,7226
Electronic City,2 BHK,1130,2,32.63,2887
Kanakpura Road,3 BHK,1570,3,64.5,4108
Sarjapur  Road,3 BHK,1691,3,98,5795
Ardendale,5 Bedroom,4355,3,350,8036
Hulimavu,2 BHK,1225,2,55,4489
JP Nagar,3 BHK,1690,3,112,6627
Thigalarapalya,2 BHK,1418,2,103,7263
Kasturi Nagar,4 BHK,1896,3,125,6592
Sonnenahalli,1 BHK,605,1,40,6611
Begur Road,5 Bedroom,800,5,95,11875
